Position,Flop,Board Texture,Your Hand Type,Recommended Action
CO,A♠ K♦ 7♣,Wet,Set,"Bet for value, consider raising vs bet"
CO,A♠ K♦ 7♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,Q♠ 7♦ 2♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,2♠ 6♦ 9♣,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
CO,A♦ A♣ K♣,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♠ K♦ 7♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,A♦ A♣ K♣,Dry,Bottom pair,"Check, rarely call a small bet"
SB,3♣ 3♠ 3♦,Wet,Top pair,"Bet for value, fold to big raise on wet board"
BTN,K♣ Q♦ T♠,Paired,Air,"Check-fold, maybe bluff on scare card"
MP,A♠ K♦ 7♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,3♣ 3♠ 3♦,Ace-high,Set,"Bet for value, consider raising vs bet"
BB,A♦ A♣ K♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BB,5♦ 5♣ K♥,Connected,Bottom pair,"Check, rarely call a small bet"
MP,J♠ T♠ 2♦,Paired,Overpair,"Bet, check back some turns"
CO,A♦ A♣ K♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,2♠ 6♦ 9♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,A♦ A♣ K♣,Connected,Bottom pair,"Check, rarely call a small bet"
BTN,K♣ Q♦ T♠,Ace-high,Set,"Bet for value, consider raising vs bet"
SB,5♦ 5♣ K♥,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,A♠ K♦ 7♣,Connected,Overpair,"Bet, check back some turns"
MP,2♠ 6♦ 9♣,Paired,Set,"Bet for value, consider raising vs bet"
MP,J♠ T♠ 2♦,Connected,Overpair,"Bet, check back some turns"
BTN,5♦ 5♣ K♥,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,3♣ 3♠ 3♦,Wet,Overpair,"Bet, check back some turns"
MP,9♣ 8♣ 7♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,Q♠ 7♦ 2♣,Paired,Set,"Bet for value, consider raising vs bet"
SB,3♣ 3♠ 3♦,Connected,Middle pair,"Check or small bet, fold to raise"
SB,Q♠ 7♦ 2♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BB,9♣ 8♣ 7♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,K♣ Q♦ T♠,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,A♦ A♣ K♣,Connected,Two pair,"Bet for value, consider raising vs bet"
CO,J♦ 9♦ 4♦,Ace-high,Two pair,"Bet for value, consider raising vs bet"
CO,J♦ 9♦ 4♦,Ace-high,Bottom pair,"Check, rarely call a small bet"
BTN,3♣ 3♠ 3♦,Dry,Air,"Check-fold, maybe bluff on scare card"
SB,K♣ Q♦ T♠,Paired,Bottom pair,"Check, rarely call a small bet"
BB,K♣ Q♦ T♠,Connected,Two pair,"Bet for value, consider raising vs bet"
CO,5♦ 5♣ K♥,Dry,Middle pair,"Check or small bet, fold to raise"
BTN,5♦ 5♣ K♥,Paired,Two pair,"Bet for value, consider raising vs bet"
MP,Q♠ 7♦ 2♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BTN,Q♠ 7♦ 2♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,A♦ A♣ K♣,Ace-high,Air,"Check-fold, maybe bluff on scare card"
BTN,Q♠ 7♦ 2♣,Wet,Set,"Bet for value, consider raising vs bet"
BTN,3♣ 3♠ 3♦,Connected,Top pair,"Bet for value, fold to big raise on wet board"
MP,2♠ 6♦ 9♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BTN,J♦ 9♦ 4♦,Monotone,Set,"Bet for value, consider raising vs bet"
BB,5♦ 5♣ K♥,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,A♦ A♣ K♣,Connected,Set,"Bet for value, consider raising vs bet"
MP,9♣ 8♣ 7♣,Dry,Middle pair,"Check or small bet, fold to raise"
BTN,A♠ K♦ 7♣,Ace-high,Bottom pair,"Check, rarely call a small bet"
MP,A♦ A♣ K♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,2♠ 6♦ 9♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,A♠ K♦ 7♣,Wet,Top pair,"Bet for value, fold to big raise on wet board"
BTN,J♠ T♠ 2♦,Paired,Overpair,"Bet, check back some turns"
BB,Q♠ 7♦ 2♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,2♠ 6♦ 9♣,Connected,Top pair,"Bet for value, fold to big raise on wet board"
BTN,5♦ 5♣ K♥,Dry,Set,"Bet for value, consider raising vs bet"
CO,5♦ 5♣ K♥,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,Q♠ 7♦ 2♣,Dry,Set,"Bet for value, consider raising vs bet"
BTN,9♣ 8♣ 7♣,Ace-high,Set,"Bet for value, consider raising vs bet"
MP,Q♠ 7♦ 2♣,Connected,Set,"Bet for value, consider raising vs bet"
MP,J♦ 9♦ 4♦,Connected,Middle pair,"Check or small bet, fold to raise"
BB,5♦ 5♣ K♥,Connected,Overpair,"Bet, check back some turns"
BTN,J♠ T♠ 2♦,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,9♣ 8♣ 7♣,Dry,Two pair,"Bet for value, consider raising vs bet"
CO,K♣ Q♦ T♠,Ace-high,Air,"Check-fold, maybe bluff on scare card"
CO,3♣ 3♠ 3♦,Monotone,Bottom pair,"Check, rarely call a small bet"
MP,2♠ 6♦ 9♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,2♠ 6♦ 9♣,Wet,Overpair,"Bet, check back some turns"
MP,K♣ Q♦ T♠,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,5♦ 5♣ K♥,Dry,Set,"Bet for value, consider raising vs bet"
CO,K♣ Q♦ T♠,Paired,Overpair,"Bet, check back some turns"
CO,5♦ 5♣ K♥,Wet,Air,"Check-fold, maybe bluff on scare card"
MP,Q♠ 7♦ 2♣,Paired,Middle pair,"Check or small bet, fold to raise"
CO,5♦ 5♣ K♥,Dry,Bottom pair,"Check, rarely call a small bet"
SB,J♠ T♠ 2♦,Paired,Bottom pair,"Check, rarely call a small bet"
SB,3♣ 3♠ 3♦,Connected,Bottom pair,"Check, rarely call a small bet"
SB,9♣ 8♣ 7♣,Wet,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,Q♠ 7♦ 2♣,Wet,Bottom pair,"Check, rarely call a small bet"
MP,3♣ 3♠ 3♦,Ace-high,Air,"Check-fold, maybe bluff on scare card"
CO,A♦ A♣ K♣,Connected,Top pair,"Bet for value, fold to big raise on wet board"
BTN,J♠ T♠ 2♦,Wet,Overpair,"Bet, check back some turns"
MP,Q♠ 7♦ 2♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BB,J♦ 9♦ 4♦,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,9♣ 8♣ 7♣,Connected,Middle pair,"Check or small bet, fold to raise"
BTN,A♠ K♦ 7♣,Monotone,Two pair,"Bet for value, consider raising vs bet"
CO,9♣ 8♣ 7♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,J♠ T♠ 2♦,Connected,Overpair,"Bet, check back some turns"
SB,Q♠ 7♦ 2♣,Wet,Set,"Bet for value, consider raising vs bet"
BB,2♠ 6♦ 9♣,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
SB,A♦ A♣ K♣,Dry,Air,"Check-fold, maybe bluff on scare card"
CO,A♦ A♣ K♣,Dry,Set,"Bet for value, consider raising vs bet"
BTN,5♦ 5♣ K♥,Wet,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,A♠ K♦ 7♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,3♣ 3♠ 3♦,Paired,Air,"Check-fold, maybe bluff on scare card"
BTN,A♠ K♦ 7♣,Ace-high,Overpair,"Bet, check back some turns"
MP,Q♠ 7♦ 2♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,J♠ T♠ 2♦,Dry,Bottom pair,"Check, rarely call a small bet"
CO,2♠ 6♦ 9♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,A♠ K♦ 7♣,Ace-high,Set,"Bet for value, consider raising vs bet"
MP,J♠ T♠ 2♦,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,9♣ 8♣ 7♣,Connected,Top pair,"Bet for value, fold to big raise on wet board"
BB,3♣ 3♠ 3♦,Dry,Two pair,"Bet for value, consider raising vs bet"
BTN,A♠ K♦ 7♣,Wet,Air,"Check-fold, maybe bluff on scare card"
MP,K♣ Q♦ T♠,Monotone,Middle pair,"Check or small bet, fold to raise"
CO,A♦ A♣ K♣,Dry,Top pair,"Bet for value, fold to big raise on wet board"
CO,Q♠ 7♦ 2♣,Wet,Bottom pair,"Check, rarely call a small bet"
BTN,5♦ 5♣ K♥,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
MP,9♣ 8♣ 7♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,A♠ K♦ 7♣,Paired,Set,"Bet for value, consider raising vs bet"
MP,K♣ Q♦ T♠,Paired,Top pair,"Bet for value, fold to big raise on wet board"
SB,3♣ 3♠ 3♦,Ace-high,Overpair,"Bet, check back some turns"
BTN,Q♠ 7♦ 2♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
CO,K♣ Q♦ T♠,Connected,Top pair,"Bet for value, fold to big raise on wet board"
BTN,K♣ Q♦ T♠,Ace-high,Two pair,"Bet for value, consider raising vs bet"
BB,2♠ 6♦ 9♣,Dry,Bottom pair,"Check, rarely call a small bet"
CO,2♠ 6♦ 9♣,Dry,Bottom pair,"Check, rarely call a small bet"
SB,Q♠ 7♦ 2♣,Connected,Middle pair,"Check or small bet, fold to raise"
BB,9♣ 8♣ 7♣,Wet,Overpair,"Bet, check back some turns"
BB,3♣ 3♠ 3♦,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,5♦ 5♣ K♥,Connected,Overpair,"Bet, check back some turns"
BB,A♠ K♦ 7♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
MP,5♦ 5♣ K♥,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
CO,Q♠ 7♦ 2♣,Wet,Two pair,"Bet for value, consider raising vs bet"
BB,5♦ 5♣ K♥,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,2♠ 6♦ 9♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♠ K♦ 7♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BTN,Q♠ 7♦ 2♣,Paired,Middle pair,"Check or small bet, fold to raise"
BTN,Q♠ 7♦ 2♣,Connected,Set,"Bet for value, consider raising vs bet"
BTN,J♠ T♠ 2♦,Ace-high,Middle pair,"Check or small bet, fold to raise"
BTN,5♦ 5♣ K♥,Monotone,Middle pair,"Check or small bet, fold to raise"
CO,9♣ 8♣ 7♣,Dry,Set,"Bet for value, consider raising vs bet"
BTN,K♣ Q♦ T♠,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,Q♠ 7♦ 2♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BB,A♦ A♣ K♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,2♠ 6♦ 9♣,Monotone,Bottom pair,"Check, rarely call a small bet"
SB,A♠ K♦ 7♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,K♣ Q♦ T♠,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,J♠ T♠ 2♦,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,2♠ 6♦ 9♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BB,9♣ 8♣ 7♣,Wet,Air,"Check-fold, maybe bluff on scare card"
CO,J♠ T♠ 2♦,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BB,A♠ K♦ 7♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
BTN,2♠ 6♦ 9♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
BB,9♣ 8♣ 7♣,Wet,Two pair,"Bet for value, consider raising vs bet"
BTN,5♦ 5♣ K♥,Ace-high,Overpair,"Bet, check back some turns"
CO,K♣ Q♦ T♠,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,3♣ 3♠ 3♦,Ace-high,Air,"Check-fold, maybe bluff on scare card"
BTN,5♦ 5♣ K♥,Monotone,Bottom pair,"Check, rarely call a small bet"
CO,J♠ T♠ 2♦,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
BTN,K♣ Q♦ T♠,Connected,Two pair,"Bet for value, consider raising vs bet"
BTN,5♦ 5♣ K♥,Dry,Overpair,"Bet, check back some turns"
BB,Q♠ 7♦ 2♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,K♣ Q♦ T♠,Wet,Set,"Bet for value, consider raising vs bet"
SB,A♠ K♦ 7♣,Wet,Set,"Bet for value, consider raising vs bet"
CO,3♣ 3♠ 3♦,Dry,Top pair,"Bet for value, fold to big raise on wet board"
MP,A♠ K♦ 7♣,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BTN,2♠ 6♦ 9♣,Ace-high,Overpair,"Bet, check back some turns"
CO,K♣ Q♦ T♠,Dry,Set,"Bet for value, consider raising vs bet"
CO,Q♠ 7♦ 2♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,A♦ A♣ K♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,J♦ 9♦ 4♦,Ace-high,Two pair,"Bet for value, consider raising vs bet"
CO,Q♠ 7♦ 2♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,J♠ T♠ 2♦,Ace-high,Overpair,"Bet, check back some turns"
CO,A♦ A♣ K♣,Dry,Middle pair,"Check or small bet, fold to raise"
SB,A♦ A♣ K♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BB,3♣ 3♠ 3♦,Dry,Middle pair,"Check or small bet, fold to raise"
MP,Q♠ 7♦ 2♣,Wet,Two pair,"Bet for value, consider raising vs bet"
CO,3♣ 3♠ 3♦,Ace-high,Air,"Check-fold, maybe bluff on scare card"
MP,J♠ T♠ 2♦,Connected,Set,"Bet for value, consider raising vs bet"
SB,K♣ Q♦ T♠,Paired,Overpair,"Bet, check back some turns"
MP,A♠ K♦ 7♣,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,J♠ T♠ 2♦,Dry,Two pair,"Bet for value, consider raising vs bet"
CO,A♠ K♦ 7♣,Wet,Set,"Bet for value, consider raising vs bet"
MP,Q♠ 7♦ 2♣,Monotone,Overpair,"Bet, check back some turns"
MP,J♠ T♠ 2♦,Ace-high,Two pair,"Bet for value, consider raising vs bet"
BTN,2♠ 6♦ 9♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,J♠ T♠ 2♦,Dry,Bottom pair,"Check, rarely call a small bet"
SB,2♠ 6♦ 9♣,Paired,Set,"Bet for value, consider raising vs bet"
BTN,J♦ 9♦ 4♦,Ace-high,Bottom pair,"Check, rarely call a small bet"
CO,9♣ 8♣ 7♣,Connected,Set,"Bet for value, consider raising vs bet"
BTN,5♦ 5♣ K♥,Wet,Two pair,"Bet for value, consider raising vs bet"
MP,A♦ A♣ K♣,Connected,Top pair,"Bet for value, fold to big raise on wet board"
SB,A♠ K♦ 7♣,Paired,Overpair,"Bet, check back some turns"
MP,9♣ 8♣ 7♣,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,Q♠ 7♦ 2♣,Monotone,Middle pair,"Check or small bet, fold to raise"
CO,A♦ A♣ K♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,J♠ T♠ 2♦,Connected,Two pair,"Bet for value, consider raising vs bet"
BB,5♦ 5♣ K♥,Paired,Air,"Check-fold, maybe bluff on scare card"
MP,K♣ Q♦ T♠,Wet,Air,"Check-fold, maybe bluff on scare card"
CO,3♣ 3♠ 3♦,Dry,Top pair,"Bet for value, fold to big raise on wet board"
MP,3♣ 3♠ 3♦,Ace-high,Overpair,"Bet, check back some turns"
SB,J♦ 9♦ 4♦,Wet,Set,"Bet for value, consider raising vs bet"
BTN,A♠ K♦ 7♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BTN,J♠ T♠ 2♦,Wet,Air,"Check-fold, maybe bluff on scare card"
MP,9♣ 8♣ 7♣,Dry,Overpair,"Bet, check back some turns"
MP,A♠ K♦ 7♣,Ace-high,Air,"Check-fold, maybe bluff on scare card"
BTN,9♣ 8♣ 7♣,Connected,Air,"Check-fold, maybe bluff on scare card"
SB,3♣ 3♠ 3♦,Paired,Middle pair,"Check or small bet, fold to raise"
CO,5♦ 5♣ K♥,Wet,Top pair,"Bet for value, fold to big raise on wet board"
BTN,5♦ 5♣ K♥,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,K♣ Q♦ T♠,Paired,Two pair,"Bet for value, consider raising vs bet"
CO,9♣ 8♣ 7♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,3♣ 3♠ 3♦,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,3♣ 3♠ 3♦,Connected,Bottom pair,"Check, rarely call a small bet"
MP,3♣ 3♠ 3♦,Wet,Set,"Bet for value, consider raising vs bet"
BTN,2♠ 6♦ 9♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
MP,3♣ 3♠ 3♦,Ace-high,Middle pair,"Check or small bet, fold to raise"
MP,J♦ 9♦ 4♦,Connected,Top pair,"Bet for value, fold to big raise on wet board"
BTN,9♣ 8♣ 7♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,3♣ 3♠ 3♦,Dry,Overpair,"Bet, check back some turns"
SB,9♣ 8♣ 7♣,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
BB,J♦ 9♦ 4♦,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,J♠ T♠ 2♦,Paired,Top pair,"Bet for value, fold to big raise on wet board"
SB,2♠ 6♦ 9♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
BB,9♣ 8♣ 7♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BB,9♣ 8♣ 7♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BTN,J♦ 9♦ 4♦,Wet,Two pair,"Bet for value, consider raising vs bet"
BTN,2♠ 6♦ 9♣,Monotone,Bottom pair,"Check, rarely call a small bet"
BB,9♣ 8♣ 7♣,Dry,Top pair,"Bet for value, fold to big raise on wet board"
BB,Q♠ 7♦ 2♣,Dry,Two pair,"Bet for value, consider raising vs bet"
SB,A♦ A♣ K♣,Paired,Air,"Check-fold, maybe bluff on scare card"
MP,J♦ 9♦ 4♦,Ace-high,Two pair,"Bet for value, consider raising vs bet"
BB,3♣ 3♠ 3♦,Connected,Air,"Check-fold, maybe bluff on scare card"
CO,J♠ T♠ 2♦,Connected,Set,"Bet for value, consider raising vs bet"
BTN,2♠ 6♦ 9♣,Dry,Air,"Check-fold, maybe bluff on scare card"
CO,Q♠ 7♦ 2♣,Monotone,Two pair,"Bet for value, consider raising vs bet"
BB,J♦ 9♦ 4♦,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,J♠ T♠ 2♦,Connected,Air,"Check-fold, maybe bluff on scare card"
BB,3♣ 3♠ 3♦,Wet,Overpair,"Bet, check back some turns"
MP,J♦ 9♦ 4♦,Wet,Two pair,"Bet for value, consider raising vs bet"
BB,A♠ K♦ 7♣,Wet,Two pair,"Bet for value, consider raising vs bet"
MP,K♣ Q♦ T♠,Connected,Middle pair,"Check or small bet, fold to raise"
BB,3♣ 3♠ 3♦,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
SB,A♦ A♣ K♣,Dry,Two pair,"Bet for value, consider raising vs bet"
MP,J♦ 9♦ 4♦,Paired,Bottom pair,"Check, rarely call a small bet"
BB,2♠ 6♦ 9♣,Dry,Overpair,"Bet, check back some turns"
CO,J♦ 9♦ 4♦,Paired,Bottom pair,"Check, rarely call a small bet"
CO,2♠ 6♦ 9♣,Connected,Air,"Check-fold, maybe bluff on scare card"
MP,5♦ 5♣ K♥,Ace-high,Air,"Check-fold, maybe bluff on scare card"
MP,Q♠ 7♦ 2♣,Paired,Middle pair,"Check or small bet, fold to raise"
MP,A♠ K♦ 7♣,Paired,Overpair,"Bet, check back some turns"
SB,J♦ 9♦ 4♦,Wet,Air,"Check-fold, maybe bluff on scare card"
BB,K♣ Q♦ T♠,Dry,Overpair,"Bet, check back some turns"
SB,5♦ 5♣ K♥,Monotone,Air,"Check-fold, maybe bluff on scare card"
MP,K♣ Q♦ T♠,Connected,Bottom pair,"Check, rarely call a small bet"
CO,9♣ 8♣ 7♣,Ace-high,Bottom pair,"Check, rarely call a small bet"
MP,J♠ T♠ 2♦,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
CO,9♣ 8♣ 7♣,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BTN,Q♠ 7♦ 2♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,A♠ K♦ 7♣,Ace-high,Two pair,"Bet for value, consider raising vs bet"
BB,Q♠ 7♦ 2♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
BB,A♦ A♣ K♣,Wet,Top pair,"Bet for value, fold to big raise on wet board"
MP,J♦ 9♦ 4♦,Ace-high,Two pair,"Bet for value, consider raising vs bet"
CO,J♦ 9♦ 4♦,Wet,Top pair,"Bet for value, fold to big raise on wet board"
BB,9♣ 8♣ 7♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,3♣ 3♠ 3♦,Connected,Overpair,"Bet, check back some turns"
MP,3♣ 3♠ 3♦,Connected,Set,"Bet for value, consider raising vs bet"
BTN,Q♠ 7♦ 2♣,Dry,Air,"Check-fold, maybe bluff on scare card"
BB,A♦ A♣ K♣,Wet,Middle pair,"Check or small bet, fold to raise"
CO,J♠ T♠ 2♦,Dry,Air,"Check-fold, maybe bluff on scare card"
BB,A♠ K♦ 7♣,Monotone,Set,"Bet for value, consider raising vs bet"
CO,Q♠ 7♦ 2♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,3♣ 3♠ 3♦,Dry,Overpair,"Bet, check back some turns"
SB,3♣ 3♠ 3♦,Paired,Air,"Check-fold, maybe bluff on scare card"
MP,9♣ 8♣ 7♣,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,J♠ T♠ 2♦,Dry,Middle pair,"Check or small bet, fold to raise"
CO,5♦ 5♣ K♥,Wet,Air,"Check-fold, maybe bluff on scare card"
MP,K♣ Q♦ T♠,Ace-high,Set,"Bet for value, consider raising vs bet"
SB,A♠ K♦ 7♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,Q♠ 7♦ 2♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,5♦ 5♣ K♥,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
MP,2♠ 6♦ 9♣,Connected,Bottom pair,"Check, rarely call a small bet"
SB,J♦ 9♦ 4♦,Wet,Air,"Check-fold, maybe bluff on scare card"
BTN,J♦ 9♦ 4♦,Paired,Middle pair,"Check or small bet, fold to raise"
CO,Q♠ 7♦ 2♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,9♣ 8♣ 7♣,Ace-high,Air,"Check-fold, maybe bluff on scare card"
CO,K♣ Q♦ T♠,Paired,Set,"Bet for value, consider raising vs bet"
CO,9♣ 8♣ 7♣,Wet,Top pair,"Bet for value, fold to big raise on wet board"
BB,Q♠ 7♦ 2♣,Ace-high,Set,"Bet for value, consider raising vs bet"
CO,A♠ K♦ 7♣,Dry,Bottom pair,"Check, rarely call a small bet"
BB,3♣ 3♠ 3♦,Connected,Middle pair,"Check or small bet, fold to raise"
MP,J♠ T♠ 2♦,Paired,Top pair,"Bet for value, fold to big raise on wet board"
SB,5♦ 5♣ K♥,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,3♣ 3♠ 3♦,Wet,Bottom pair,"Check, rarely call a small bet"
BTN,A♠ K♦ 7♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♦ A♣ K♣,Ace-high,Two pair,"Bet for value, consider raising vs bet"
BB,J♦ 9♦ 4♦,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
BB,A♠ K♦ 7♣,Paired,Bottom pair,"Check, rarely call a small bet"
BB,A♠ K♦ 7♣,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BTN,J♦ 9♦ 4♦,Paired,Two pair,"Bet for value, consider raising vs bet"
BB,A♠ K♦ 7♣,Paired,Air,"Check-fold, maybe bluff on scare card"
MP,J♦ 9♦ 4♦,Dry,Set,"Bet for value, consider raising vs bet"
CO,9♣ 8♣ 7♣,Wet,Bottom pair,"Check, rarely call a small bet"
MP,K♣ Q♦ T♠,Paired,Air,"Check-fold, maybe bluff on scare card"
SB,K♣ Q♦ T♠,Connected,Middle pair,"Check or small bet, fold to raise"
CO,J♦ 9♦ 4♦,Connected,Set,"Bet for value, consider raising vs bet"
BTN,A♦ A♣ K♣,Connected,Top pair,"Bet for value, fold to big raise on wet board"
CO,K♣ Q♦ T♠,Connected,Two pair,"Bet for value, consider raising vs bet"
CO,Q♠ 7♦ 2♣,Paired,Middle pair,"Check or small bet, fold to raise"
BB,5♦ 5♣ K♥,Connected,Two pair,"Bet for value, consider raising vs bet"
MP,9♣ 8♣ 7♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
SB,J♦ 9♦ 4♦,Connected,Top pair,"Bet for value, fold to big raise on wet board"
CO,9♣ 8♣ 7♣,Paired,Set,"Bet for value, consider raising vs bet"
CO,J♦ 9♦ 4♦,Ace-high,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,A♦ A♣ K♣,Connected,Overpair,"Bet, check back some turns"
CO,A♦ A♣ K♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,K♣ Q♦ T♠,Wet,Top pair,"Bet for value, fold to big raise on wet board"
MP,3♣ 3♠ 3♦,Dry,Middle pair,"Check or small bet, fold to raise"
BB,9♣ 8♣ 7♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,K♣ Q♦ T♠,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BTN,A♦ A♣ K♣,Paired,Overpair,"Bet, check back some turns"
MP,9♣ 8♣ 7♣,Connected,Set,"Bet for value, consider raising vs bet"
BB,2♠ 6♦ 9♣,Dry,Air,"Check-fold, maybe bluff on scare card"
BB,2♠ 6♦ 9♣,Dry,Two pair,"Bet for value, consider raising vs bet"
CO,J♠ T♠ 2♦,Paired,Overpair,"Bet, check back some turns"
CO,2♠ 6♦ 9♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
CO,3♣ 3♠ 3♦,Dry,Middle pair,"Check or small bet, fold to raise"
BTN,5♦ 5♣ K♥,Monotone,Overpair,"Bet, check back some turns"
CO,5♦ 5♣ K♥,Connected,Air,"Check-fold, maybe bluff on scare card"
CO,Q♠ 7♦ 2♣,Paired,Set,"Bet for value, consider raising vs bet"
